roi,pre,post,downstream,upstream
AMMC(L),14,2671,64,2671
AVLP(L),0,10,0,10
CV,133,860,547,860
CV-unspecified,133,860,547,860
CentralBrain,268,21295,1241,21295
CentralBrain-unspecified,122,1156,618,1156
EPA(L),6,657,23,657
GOR(L),28,1965,128,1965
ICL(L),4,649,13,649
INP,4,649,13,649
IntTct,59,146,206,146
LTct,324,1238,1478,1238
PENP,63,4959,282,4959
PLP(L),0,8,0,8
PVLP(L),39,10384,153,10384
SAD,63,4959,282,4959
SAD(-AMMC),49,2288,218,2288
SPS(L),0,8,0,8
VLNP(L),45,11901,177,11901
VMNP,34,2630,151,2630
VNC,575,2741,2594,2741
VNC-unspecified,192,1357,910,1357
WED(L),6,1499,24,1499
