roi,pre,post,downstream,upstream
AMMC(R),13,1635,59,1635
CV,46,864,224,864
CV-unspecified,46,864,224,864
CentralBrain,314,16135,1429,16135
CentralBrain-unspecified,138,810,690,810
EPA(R),4,376,19,376
GOR(R),39,1772,168,1772
IB,3,185,12,185
ICL(R),12,570,55,570
INP,15,755,67,755
IPS(R),0,3,0,3
IntTct,123,218,468,218
LTct,329,974,1384,974
PENP,69,3207,289,3207
PLP(R),3,21,8,21
PVLP(R),36,7897,153,7897
SAD,69,3207,289,3207
SAD(-AMMC),56,1572,230,1572
SPS(R),1,6,2,6
VES(R),0,3,0,3
VLNP(R),48,9203,194,9203
VMNP,44,2160,189,2160
VNC,655,1583,2838,1583
VNC-unspecified,203,391,986,391
WED(R),9,1285,33,1285
