bodyId,roi,pre,post,downstream,upstream
11116,ANm,263,102,1566,102
11116,CAN(R),1,14,2,14
11116,CV,9,75,47,75
11116,CV-unspecified,9,75,47,75
11116,CX,0,2,0,2
11116,CentralBrain,578,10221,3389,10221
11116,CentralBrain-unspecified,26,612,122,612
11116,EPA(L),1,101,4,101
11116,EPA(R),10,533,55,533
11116,FB,0,2,0,2
11116,FBl6,0,2,0,2
11116,FLA(L),1,189,3,189
11116,FLA(R),58,414,347,414
11116,GNG,116,174,754,174
11116,GOR(L),7,280,40,280
11116,GOR(R),33,767,166,767
11116,IB,0,19,0,19
11116,ICL(L),9,421,39,421
11116,ICL(R),18,1156,91,1156
11116,INP,32,1975,154,1975
11116,IntTct,103,40,591,40
11116,LTct,1132,458,6723,458
11116,LegNp(T1)(L),22,7,137,7
11116,LegNp(T1)(R),196,82,1246,82
11116,LegNp(T3)(R),6,4,38,4
11116,MB(R),0,6,0,6
11116,Ov(R),14,6,73,6
11116,PED(R),0,2,0,2
11116,PENP,275,887,1720,887
11116,PLP(R),0,2,0,2
11116,PVLP(R),1,35,7,35
11116,SAD,215,270,1368,270
11116,SAD(-AMMC),215,270,1368,270
11116,SCL(L),0,47,0,47
11116,SCL(R),5,332,24,332
11116,SIP(L),7,404,28,404
11116,SIP(R),15,1621,82,1621
11116,SMP(R),2,401,10,401
11116,SNP(L),7,404,28,404
11116,SNP(R),17,2022,92,2022
11116,SPS(R),2,37,7,37
11116,VES(L),11,832,62,832
11116,VES(R),29,1544,140,1544
11116,VLNP(R),12,45,45,45
11116,VMNP,93,4094,474,4094
11116,VNC,1950,819,11629,819
11116,VNC-unspecified,183,113,1078,113
11116,WED(R),11,8,38,8
11116,WTct(UTct-T2)(R),31,7,177,7
11116,a'2(R),0,4,0,4
11116,a'L(R),0,4,0,4
523998,ANm,290,95,1755,95
523998,CAN(L),0,7,0,7
523998,CAN(R),2,17,5,17
523998,CV,9,21,33,21
523998,CV-unspecified,9,21,33,21
523998,CentralBrain,528,10377,2996,10377
523998,CentralBrain-unspecified,31,819,125,819
523998,EPA(L),6,546,20,546
523998,EPA(R),3,82,12,82
523998,FLA(L),96,324,632,324
523998,FLA(R),2,218,9,218
523998,GNG,120,233,732,233
523998,GOR(L),17,519,79,519
523998,GOR(R),14,498,63,498
523998,IB,1,18,3,18
523998,ICL(L),27,1389,132,1389
523998,ICL(R),6,428,27,428
523998,INP,36,2320,170,2320
523998,IntTct,136,48,749,48
523998,LAL(-GA)(L),0,8,0,8
523998,LAL(L),0,8,0,8
523998,LTct,1260,549,7241,549
523998,LX(L),0,8,0,8
523998,LegNp(T1)(L),38,28,252,28
523998,LegNp(T1)(R),66,29,393,29
523998,MB(L),0,2,0,2
523998,Ov(L),0,2,0,2
523998,PED(L),0,2,0,2
523998,PENP,241,717,1557,717
523998,PVLP(L),0,20,0,20
523998,SAD,141,151,911,151
523998,SAD(-AMMC),141,151,911,151
523998,SCL(L),2,422,8,422
523998,SCL(R),0,63,0,63
523998,SIP(L),18,1514,69,1514
523998,SIP(R),4,531,12,531
523998,SMP(L),2,295,7,295
523998,SMP(R),0,12,0,12
523998,SNP(L),20,1809,76,1809
523998,SNP(R),4,543,12,543
523998,SPS(L),0,18,0,18
523998,VES(L),18,1055,68,1055
523998,VES(R),16,1136,75,1136
523998,VLNP(L),2,72,7,72
523998,VMNP,74,3854,317,3854
523998,VNC,2027,858,11754,858
523998,VNC-unspecified,232,104,1335,104
523998,WED(L),2,52,7,52
523998,WTct(UTct-T2)(L),5,3,29,3
