roi,pre,post,downstream,upstream
AOTU(L),291,280,2105,280
CentralBrain,292,285,2109,285
CentralBrain-unspecified,1,5,4,5
LO(L),22,625,117,625
LO_L_col_15_05,0,4,0,4
LO_L_col_15_06,0,11,0,11
LO_L_col_15_08,0,2,0,2
LO_L_col_16_05,0,22,0,22
LO_L_col_16_06,6,135,29,135
LO_L_col_16_07,4,74,17,74
LO_L_col_16_08,1,39,9,39
LO_L_col_17_05,0,12,0,12
LO_L_col_17_06,1,82,4,82
LO_L_col_17_07,2,135,15,135
LO_L_col_17_08,3,37,15,37
LO_L_col_17_09,0,5,0,5
LO_L_col_18_06,1,23,5,23
LO_L_col_18_07,3,27,17,27
LO_L_col_18_08,0,3,0,3
LO_L_col_19_06,1,8,6,8
LO_L_col_19_07,0,6,0,6
LO_L_layer_2,0,2,0,2
LO_L_layer_3,12,171,61,171
LO_L_layer_4,10,79,56,79
LO_L_layer_5,0,74,0,74
LO_L_layer_6,0,239,0,239
LO_L_layer_7,0,60,0,60
Optic(L),22,628,117,628
Optic-unspecified(L),0,3,0,3
VLNP(L),291,280,2105,280
