roi,pre,post,downstream,upstream
AL(L),0,4,0,4
AL-VP4(L),0,1,0,1
AL-unspecified(L),0,3,0,3
ANm,64,17,410,17
CV,5,31,19,31
CV-unspecified,5,31,19,31
CentralBrain,704,23756,5623,23756
CentralBrain-unspecified,25,563,93,563
EPA(L),2,1302,10,1302
GNG,244,1593,1997,1593
GOR(L),0,267,0,267
HTct(UTct-T3)(L),137,35,930,35
ICL(L),0,166,0,166
INP,0,166,0,166
IPS(L),404,2832,3431,2832
IntTct,182,62,1383,62
LAL(-GA)(L),23,7960,66,7960
LAL(L),23,7960,66,7960
LX(L),23,7960,66,7960
LegNp(T1)(L),770,246,6031,246
LegNp(T2)(L),503,184,3876,184
LegNp(T3)(L),578,157,4406,157
NTct(UTct-T1)(L),190,21,1292,21
PENP,0,19,0,19
PLP(L),0,635,0,635
PVLP(L),0,272,0,272
SAD,0,19,0,19
SAD(-AMMC),0,19,0,19
SPS(L),3,1700,8,1700
VES(L),3,5765,18,5765
VLNP(L),0,1585,0,1585
VMNP,412,11866,3467,11866
VNC,2458,740,18492,740
VNC-unspecified,30,17,159,17
WED(L),0,678,0,678
WTct(UTct-T2)(L),4,1,5,1
