roi,pre,post,downstream,upstream
ANm,33,9,220,9
CRE(-ROB)(-RUB)(R),0,11,0,11
CRE(R),0,11,0,11
CV,10,74,45,74
CV-unspecified,10,74,45,74
CentralBrain,821,24074,6335,24074
CentralBrain-unspecified,39,334,103,334
EPA(R),10,1279,97,1279
GNG,313,1461,2604,1461
GOR(R),2,262,4,262
HTct(UTct-T3)(R),148,50,977,50
ICL(R),0,189,0,189
INP,0,213,0,213
IPS(R),418,3141,3418,3141
IntTct,129,33,882,33
LAL(-GA)(R),24,8456,64,8456
LAL(R),24,8456,64,8456
LX(R),24,8456,64,8456
LegNp(T1)(R),818,257,6482,257
LegNp(T2)(R),495,176,3766,176
LegNp(T3)(R),517,126,4064,126
NTct(UTct-T1)(R),93,19,609,19
PENP,0,1,0,1
PLP(R),1,890,5,890
PVLP(R),0,317,0,317
SAD,0,1,0,1
SAD(-AMMC),0,1,0,1
SCL(R),0,13,0,13
SIP(R),0,28,0,28
SNP(R),0,28,0,28
SPS(R),7,2009,18,2009
VES(R),6,4888,19,4888
VLNP(R),2,2002,8,2002
VMNP,443,11579,3556,11579
VNC,2255,682,17108,682
VNC-unspecified,5,3,18,3
WED(R),1,795,3,795
WTct(UTct-T2)(R),17,9,90,9
