bodyId,roi,pre,post,downstream,upstream
10360,ANm,33,9,220,9
10360,CRE(-ROB)(-RUB)(R),0,11,0,11
10360,CRE(R),0,11,0,11
10360,CV,10,74,45,74
10360,CV-unspecified,10,74,45,74
10360,CentralBrain,821,24074,6335,24074
10360,CentralBrain-unspecified,39,334,103,334
10360,EPA(R),10,1279,97,1279
10360,GNG,313,1461,2604,1461
10360,GOR(R),2,262,4,262
10360,HTct(UTct-T3)(R),148,50,977,50
10360,ICL(R),0,189,0,189
10360,INP,0,213,0,213
10360,IPS(R),418,3141,3418,3141
10360,IntTct,129,33,882,33
10360,LAL(-GA)(R),24,8456,64,8456
10360,LAL(R),24,8456,64,8456
10360,LX(R),24,8456,64,8456
10360,LegNp(T1)(R),818,257,6482,257
10360,LegNp(T2)(R),495,176,3766,176
10360,LegNp(T3)(R),517,126,4064,126
10360,NTct(UTct-T1)(R),93,19,609,19
10360,PENP,0,1,0,1
10360,PLP(R),1,890,5,890
10360,PVLP(R),0,317,0,317
10360,SAD,0,1,0,1
10360,SAD(-AMMC),0,1,0,1
10360,SCL(R),0,13,0,13
10360,SIP(R),0,28,0,28
10360,SNP(R),0,28,0,28
10360,SPS(R),7,2009,18,2009
10360,VES(R),6,4888,19,4888
10360,VLNP(R),2,2002,8,2002
10360,VMNP,443,11579,3556,11579
10360,VNC,2255,682,17108,682
10360,VNC-unspecified,5,3,18,3
10360,WED(R),1,795,3,795
10360,WTct(UTct-T2)(R),17,9,90,9
523769,AL(L),0,4,0,4
523769,AL-VP4(L),0,1,0,1
523769,AL-unspecified(L),0,3,0,3
523769,ANm,64,17,410,17
523769,CV,5,31,19,31
523769,CV-unspecified,5,31,19,31
523769,CentralBrain,704,23756,5623,23756
523769,CentralBrain-unspecified,25,563,93,563
523769,EPA(L),2,1302,10,1302
523769,GNG,244,1593,1997,1593
523769,GOR(L),0,267,0,267
523769,HTct(UTct-T3)(L),137,35,930,35
523769,ICL(L),0,166,0,166
523769,INP,0,166,0,166
523769,IPS(L),404,2832,3431,2832
523769,IntTct,182,62,1383,62
523769,LAL(-GA)(L),23,7960,66,7960
523769,LAL(L),23,7960,66,7960
523769,LX(L),23,7960,66,7960
523769,LegNp(T1)(L),770,246,6031,246
523769,LegNp(T2)(L),503,184,3876,184
523769,LegNp(T3)(L),578,157,4406,157
523769,NTct(UTct-T1)(L),190,21,1292,21
523769,PENP,0,19,0,19
523769,PLP(L),0,635,0,635
523769,PVLP(L),0,272,0,272
523769,SAD,0,19,0,19
523769,SAD(-AMMC),0,19,0,19
523769,SPS(L),3,1700,8,1700
523769,VES(L),3,5765,18,5765
523769,VLNP(L),0,1585,0,1585
523769,VMNP,412,11866,3467,11866
523769,VNC,2458,740,18492,740
523769,VNC-unspecified,30,17,159,17
523769,WED(L),0,678,0,678
523769,WTct(UTct-T2)(L),4,1,5,1
