bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,status_pre,status_post,cropped_pre,cropped_post,conn_roiInfo
523769,800561,209,DNa02,IN08A006,DNa02_L,IN08A006_L,Traced,Traced,,,"{'IntTct': {'post': 1}, 'LegNp(T1)(L)': {'post': 204}, 'NTct(UTct-T1)(L)': {'post': 4}, 'VNC': {'post': 209}}"
523769,800511,156,DNa02,IN08A006,DNa02_L,IN08A006_L,Traced,Traced,,,"{'LegNp(T2)(L)': {'post': 156}, 'VNC': {'post': 156}}"
523769,800461,147,DNa02,IN19A003,DNa02_L,IN19A003_L,Traced,Traced,,,"{'LegNp(T2)(L)': {'post': 147}, 'VNC': {'post': 147}}"
523769,905415,121,DNa02,IN07B006,DNa02_L,IN07B006_L,Traced,Traced,,,"{'IntTct': {'post': 39}, 'LegNp(T1)(L)': {'post': 44}, 'NTct(UTct-T1)(L)': {'post': 38}, 'VNC': {'post': 121}}"
523769,800856,113,DNa02,IN08A006,DNa02_L,IN08A006_L,Traced,Traced,,,"{'LegNp(T3)(L)': {'post': 113}, 'VNC': {'post': 113}}"
523769,11424,106,DNa02,DNge026,DNa02_L,DNge026_L,Traced,Traced,,,"{'CentralBrain': {'post': 106}, 'GNG': {'post': 39}, 'IPS(L)': {'post': 67}, 'VMNP': {'post': 67}}"
523769,801548,106,DNa02,Sternal anterior rotator MN,DNa02_L,Sternal anterior rotator MN_L,Traced,Traced,,,"{'LegNp(T3)(L)': {'post': 106}, 'VNC': {'post': 106}}"
523769,903689,106,DNa02,Sternal anterior rotator MN,DNa02_L,Sternal anterior rotator MN_L,Traced,Traced,,,"{'LegNp(T2)(L)': {'post': 106}, 'VNC': {'post': 106}}"
523769,800406,92,DNa02,IN13B001,DNa02_L,IN13B001_R,Traced,Traced,,,"{'LegNp(T2)(L)': {'post': 92}, 'VNC': {'post': 92}}"
523769,519896,89,DNa02,DNa06,DNa02_L,DNa06(PS039)_L,Traced,Traced,,,"{'CentralBrain': {'post': 85}, 'GNG': {'post': 17}, 'IPS(L)': {'post': 64}, 'LAL(-GA)(L)': {'post': 2}, 'LAL(L)': {'post': 2}, 'LX(L)': {'post': 2}, 'NTct(UTct-T1)(L)': {'post': 4}, 'VES(L)': {'post': 2}, 'VMNP': {'post': 66}, 'VNC': {'post': 4}}"
523769,800356,89,DNa02,IN13B001,DNa02_L,IN13B001_R,Traced,Traced,,,"{'HTct(UTct-T3)(L)': {'post': 1}, 'LegNp(T3)(L)': {'post': 88}, 'VNC': {'post': 89}}"
523769,800622,89,DNa02,IN19A003,DNa02_L,IN19A003_L,Traced,Traced,,,"{'LegNp(T3)(L)': {'post': 89}, 'VNC': {'post': 89}}"
523769,531928,88,DNa02,PS137,DNa02_L,PS137_L,Traced,Traced,,,"{'CentralBrain': {'post': 88}, 'GNG': {'post': 8}, 'IPS(L)': {'post': 80}, 'VMNP': {'post': 80}}"
523769,801598,87,DNa02,IN03B019,DNa02_L,IN03B019_L,Traced,Traced,,,"{'LegNp(T2)(L)': {'post': 87}, 'VNC': {'post': 87}}"
523769,903602,82,DNa02,IN19A003,DNa02_L,IN19A003_L,Traced,Traced,,,"{'IntTct': {'post': 5}, 'LegNp(T1)(L)': {'post': 69}, 'NTct(UTct-T1)(L)': {'post': 8}, 'VNC': {'post': 82}}"
523769,940009,81,DNa02,w-cHIN,DNa02_L,w-cHIN_L,Traced,Traced,,,"{'HTct(UTct-T3)(L)': {'post': 66}, 'IntTct': {'post': 15}, 'VNC': {'post': 81}}"
523769,520117,80,DNa02,GNG562,DNa02_L,GNG562_L,Traced,Traced,,,"{'CentralBrain': {'post': 80}, 'GNG': {'post': 39}, 'IPS(L)': {'post': 41}, 'VMNP': {'post': 41}}"
523769,13404,79,DNa02,PS060,DNa02_L,PS060_L,Traced,Traced,,,"{'CentralBrain': {'post': 79}, 'GNG': {'post': 32}, 'IPS(L)': {'post': 47}, 'VMNP': {'post': 47}}"
523769,521305,77,DNa02,PS274,DNa02_L,PS274_L,Traced,Traced,,,"{'CentralBrain': {'post': 77}, 'GNG': {'post': 28}, 'IPS(L)': {'post': 49}, 'VMNP': {'post': 49}}"
523769,803083,74,DNa02,IN12A039,DNa02_L,IN12A039_L,Traced,Traced,,,"{'ANm': {'post': 11}, 'LegNp(T3)(L)': {'post': 63}, 'VNC': {'post': 74}}"
523769,800306,73,DNa02,IN13B001,DNa02_L,IN13B001_R,Traced,Traced,,,"{'LegNp(T1)(L)': {'post': 67}, 'NTct(UTct-T1)(L)': {'post': 6}, 'VNC': {'post': 73}}"
523769,801252,70,DNa02,IN07B009,DNa02_L,IN07B009_L,Traced,Traced,,,"{'IntTct': {'post': 26}, 'LegNp(T1)(L)': {'post': 36}, 'NTct(UTct-T1)(L)': {'post': 8}, 'VNC': {'post': 70}}"
523769,802308,70,DNa02,IN14B007,DNa02_L,IN14B007_L,Traced,Traced,,,"{'IntTct': {'post': 32}, 'NTct(UTct-T1)(L)': {'post': 38}, 'VNC': {'post': 70}}"
523769,802134,69,DNa02,IN14B003,DNa02_L,IN14B003_L,Traced,Traced,,,"{'ANm': {'post': 6}, 'HTct(UTct-T3)(L)': {'post': 19}, 'IntTct': {'post': 1}, 'LegNp(T3)(L)': {'post': 43}, 'VNC': {'post': 69}}"
523769,928813,68,DNa02,IN03A047,DNa02_L,IN03A047_L,Traced,Traced,,,"{'LegNp(T2)(L)': {'post': 68}, 'VNC': {'post': 68}}"
523769,19124,67,DNa02,AN03A002,DNa02_L,AN03A002_L,Traced,Traced,,,"{'IntTct': {'post': 23}, 'LegNp(T1)(L)': {'post': 29}, 'NTct(UTct-T1)(L)': {'post': 15}, 'VNC': {'post': 67}}"
523769,13463,67,DNa02,LAL111,DNa02_L,LAL111_L,Traced,Traced,,,"{'CentralBrain': {'post': 67}, 'GNG': {'post': 18}, 'IPS(L)': {'post': 49}, 'VMNP': {'post': 49}}"
523769,10203,66,DNa02,PS100,DNa02_L,PS100_L,Traced,Traced,,,"{'CentralBrain': {'post': 66}, 'CentralBrain-unspecified': {'post': 1}, 'GNG': {'post': 30}, 'IPS(L)': {'post': 35}, 'VMNP': {'post': 35}}"
523769,13295,65,DNa02,DNge033,DNa02_L,DNge033_L,Traced,Traced,,,"{'CentralBrain': {'post': 65}, 'CentralBrain-unspecified': {'post': 3}, 'GNG': {'post': 21}, 'IPS(L)': {'post': 41}, 'VMNP': {'post': 41}}"
523769,802383,60,DNa02,IN20A.22A003,DNa02_L,IN20A.22A003_L,Traced,Traced,,,"{'LegNp(T2)(L)': {'post': 60}, 'VNC': {'post': 60}}"
523769,804851,58,DNa02,Sternal posterior rotator MN,DNa02_L,Sternal posterior rotator MN_L,Traced,Traced,,,"{'LegNp(T1)(L)': {'post': 58}, 'VNC': {'post': 58}}"
523769,802099,55,DNa02,INXXX468,DNa02_L,INXXX468_L,Traced,Traced,,,"{'HTct(UTct-T3)(L)': {'post': 1}, 'LegNp(T3)(L)': {'post': 54}, 'VNC': {'post': 55}}"
